"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 16 13:30:53 GMT 2025","Sat Aug 16 13:30:55 GMT 2025","1409","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Aug 16 13:30:56 GMT 2025","Sat Aug 16 13:31:00 GMT 2025","3973","LMS system","Courses","Courses","","","Test edit course",""
"passed","Sat Aug 16 13:31:00 GMT 2025","Sat Aug 16 13:31:01 GMT 2025","1136","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Aug 16 13:30:52 GMT 2025","Sat Aug 16 13:30:53 GMT 2025","1162","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Aug 16 13:30:54 GMT 2025","Sat Aug 16 13:30:55 GMT 2025","1106","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Aug 16 13:30:50 GMT 2025","Sat Aug 16 13:30:52 GMT 2025","1357","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 16 13:30:50 GMT 2025","Sat Aug 16 13:30:52 GMT 2025","1358","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"skipped","Sat Aug 16 13:30:50 GMT 2025","Sat Aug 16 13:30:50 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Aug 16 13:30:56 GMT 2025","Sat Aug 16 13:30:59 GMT 2025","2980","LMS system","Courses","Courses","","","Test create course",""
"passed","Sat Aug 16 13:30:52 GMT 2025","Sat Aug 16 13:30:53 GMT 2025","1096","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
